dataset,left_side,right_side,threshold_value,adversarial_min,adversarial_max,adversarial_mean,adversarial_median,adversarial_stddev,advmod_min,advmod_max,advmod_mean,advmod_median,advmod_stddev
mnist,3.0,1.0,0.14999999999999997,0.978329598903656,0.9999805688858032,0.998289167881012,0.9997460842132568,0.00421967264264822,0.9864345788955688,0.9999679327011108,0.9988688230514526,0.9996718168258667,0.002414630027487874
mnist,3.0,1.0,0.15999999999999998,0.978329598903656,0.9999805688858032,0.998289167881012,0.9997460842132568,0.00421967264264822,0.9863284230232239,0.9999691247940063,0.9988408088684082,0.9996562600135803,0.002441408345475793
mnist,3.0,1.0,0.16999999999999998,0.978329598903656,0.9999805688858032,0.998289167881012,0.9997460842132568,0.00421967264264822,0.9847446084022522,0.9999674558639526,0.9987428784370422,0.9996358752250671,0.0027220589108765125
mnist,3.0,1.0,0.17999999999999997,0.978329598903656,0.9999805688858032,0.998289167881012,0.9997460842132568,0.00421967264264822,0.9813084006309509,0.9999632835388184,0.99851393699646,0.9995858669281006,0.0033238986507058144
mnist,3.0,1.0,0.18999999999999995,0.978329598903656,0.9999805688858032,0.998289167881012,0.9997460842132568,0.00421967264264822,0.9808698892593384,0.9999610185623169,0.9984527826309204,0.9995990991592407,0.0034297332167625427
mnist,4.0,9.0,0.13999999999999999,0.005739507265388966,0.9989652633666992,0.8195444345474243,0.9477404952049255,0.2843923568725586,0.07718025147914886,0.996494710445404,0.8294987082481384,0.9315104484558105,0.24681679904460907
mnist,4.0,9.0,0.14999999999999997,0.005739507265388966,0.9989652633666992,0.8195444345474243,0.9477404952049255,0.2843923568725586,0.0991363599896431,0.9965335130691528,0.8277250528335571,0.9276210069656372,0.2430959939956665
mnist,4.0,9.0,0.15999999999999998,0.005739507265388966,0.9989652633666992,0.8195444345474243,0.9477404952049255,0.2843923568725586,0.08257076144218445,0.9963668584823608,0.8265718221664429,0.921735405921936,0.24598118662834167
mnist,4.0,9.0,0.16999999999999998,0.005739507265388966,0.9989652633666992,0.8195444345474243,0.9477404952049255,0.2843923568725586,0.12369333952665329,0.9960730075836182,0.8332892656326294,0.9170725345611572,0.22554552555084229
mnist,4.0,9.0,0.17999999999999997,0.005739507265388966,0.9989652633666992,0.8195444345474243,0.9477404952049255,0.2843923568725586,0.09281498938798904,0.9961977601051331,0.8386449813842773,0.923179030418396,0.22114558517932892
mnist,5.0,7.0,0.17999999999999997,0.9997188448905945,1.0,0.9999788999557495,1.0,6.699126970488578e-05,0.9997188448905945,1.0,0.9999788999557495,1.0,6.699126970488578e-05
mnist,5.0,7.0,0.18999999999999995,0.9997188448905945,1.0,0.9999788999557495,1.0,6.699126970488578e-05,0.9997188448905945,1.0,0.9999788999557495,1.0,6.699126970488578e-05
mnist,6.0,9.0,0.1,0.800777018070221,1.0,0.9937742948532104,1.0,0.034663330763578415,0.800777018070221,1.0,0.9937742948532104,1.0,0.034663330763578415
mnist,6.0,9.0,0.11,0.800777018070221,1.0,0.9937742948532104,1.0,0.034663330763578415,0.800777018070221,1.0,0.9937742948532104,1.0,0.034663330763578415
