dataset,left_side,right_side,min,max,median,stddev
mnist,5.0,1.0,0.14141487653413257,0.5479817987619121,0.2274353480488007,0.23131890856962317,0.01699279570150856
mnist,5.0,2.0,0.18309464953384222,0.284547407258074,0.2245803925801006,0.22377546861606074,0.010264861885273325
mnist,5.0,3.0,0.1783519395643303,0.3956830099744942,0.23834444139353095,0.24094726293387436,0.012111227427398981
mnist,5.0,4.0,0.15041164467350202,0.21695610293073456,0.17945675574023767,0.1784664198570568,0.00724963987473343
mnist,5.0,6.0,0.08045651605089553,0.48799731299852667,0.1716426318068908,0.17188872406823236,0.018036610107254967
mnist,5.0,7.0,0.19376199087788284,0.30363710338877753,0.2533872375954942,0.25435641099096995,0.008536720137074122
mnist,5.0,8.0,0.06417731811235132,0.4050596520867708,0.18407840589422478,0.1875031429059331,0.017537375613782318
mnist,5.0,9.0,0.167288992246769,0.4200880343361635,0.21293941934242824,0.2102118288071964,0.01589436677829384
mnist,6.0,0.0,0.11271732102275779,0.43929425544396744,0.23535376251924084,0.23344192100775982,0.017473359189417968
mnist,6.0,1.0,0.17912149318559403,0.23753510941533343,0.20792850618997266,0.20802379491144904,0.005335733018896248
mnist,6.0,2.0,0.14552418080025176,0.3727803960235898,0.25510052070435346,0.2557710709276513,0.012263414105191281
mnist,6.0,3.0,0.13728331786841383,0.4394164576968927,0.25757860162255525,0.2564115301179345,0.011637101118361609
mnist,6.0,4.0,0.16122956602870106,0.29661374829623416,0.20373482205771234,0.20290186264963284,0.010319130314154865
mnist,6.0,5.0,0.09134348562073945,0.40513399110276316,0.20519313710088768,0.20017361929619837,0.0250290432040045
mnist,6.0,7.0,0.09659776225009709,0.24978971744847,0.17179665509304257,0.17190038646355624,0.0046044375169924205
mnist,6.0,8.0,0.09140569900880376,0.39263988071759587,0.19913628602632333,0.1961978835102358,0.015951555152034655
mnist,6.0,9.0,0.17207565094378086,0.24767022823715457,0.18990893703671785,0.18898191526217434,0.0068893053859633326
mnist,7.0,0.0,0.13198517547013186,0.3391263902115041,0.21887733776140922,0.22313919740296512,0.015098633893101414
mnist,7.0,1.0,0.15947460004213207,0.25247995994617106,0.22258927113635446,0.2232435169884589,0.010000026846510057
mnist,7.0,2.0,0.1879977497394296,0.42699284250547204,0.25007906143636005,0.24757485583039252,0.01430250926731705
mnist,7.0,3.0,0.11175939519595211,0.26726629234647964,0.21897915745173796,0.22180819574368438,0.012364585634822022
mnist,7.0,4.0,0.1395865297956032,0.2699322582071546,0.20860523008841772,0.20770207791559808,0.0061648704756500266
mnist,7.0,5.0,0.16063515511112644,0.48430893721588913,0.24573295954060692,0.24582792053487706,0.0142381014566706
mnist,7.0,6.0,0.21400495230106523,0.4734496639325734,0.2504479515478338,0.24756583668878276,0.018447175430391243
mnist,7.0,8.0,0.13219792613020953,0.2731152234628797,0.18205491230401033,0.183052866100336,0.0104790786341419
mnist,7.0,9.0,0.07172607252861522,0.1970015953315637,0.18245329038999838,0.18483422108093206,0.008798021970885663
mnist,8.0,0.0,0.09334758717247103,0.2598062120525117,0.2088547590845545,0.21321971193582065,0.014433696982152107
mnist,8.0,1.0,0.15878203825125195,0.2569921039770409,0.18268034293443008,0.18294936235354414,0.0064605124379754075
mnist,8.0,2.0,0.18214505055352118,0.3660692166918742,0.22764732988834238,0.22719846179810904,0.010617364557215538
mnist,8.0,3.0,0.17515941988366202,0.3319257016487604,0.2579462107426824,0.2655552075329089,0.02080207604698308
mnist,8.0,4.0,0.11987536001584435,0.40245493905393764,0.19697613940794223,0.19697700426105727,0.009519027287253106
mnist,8.0,5.0,0.105866793118088,0.4622711873227769,0.24166050851286583,0.2435571716196761,0.021223880900839275
