dataset,left_side,right_side,threshold_value,clean_min,clean_max,clean_mean,clean_median,clean_stddev,modified_clean_min,modified_clean_max,modified_clean_mean,modified_clean_median,modified_clean_stddev
cifar10,0.0,7.0,0.12,0.33478423953056335,0.9970875382423401,0.8891245722770691,0.9535199403762817,0.14979448914527893,0.3251412510871887,0.6588559150695801,0.47129490971565247,0.4374138414859772,0.10086984932422638
cifar10,0.0,7.0,0.13,0.33478423953056335,0.9970875382423401,0.8891245722770691,0.9535199403762817,0.14979448914527893,0.32656073570251465,0.658923864364624,0.4753758907318115,0.4447703957557678,0.10204442590475082
cifar10,0.0,7.0,0.13999999999999999,0.33478423953056335,0.9970875382423401,0.8891245722770691,0.9535199403762817,0.14979448914527893,0.3208433985710144,0.6603837609291077,0.47766822576522827,0.4434986710548401,0.10302060097455978
cifar10,0.0,7.0,0.14999999999999997,0.33478423953056335,0.9970875382423401,0.8891245722770691,0.9535199403762817,0.14979448914527893,0.3147793412208557,0.6619498133659363,0.47962579131126404,0.44264519214630127,0.10465380549430847
cifar10,0.0,7.0,0.15999999999999998,0.33478423953056335,0.9970875382423401,0.8891245722770691,0.9535199403762817,0.14979448914527893,0.3066874146461487,0.6569342613220215,0.47012603282928467,0.42232462763786316,0.1074342280626297
cifar10,0.0,7.0,0.16999999999999998,0.33478423953056335,0.9970875382423401,0.8891245722770691,0.9535199403762817,0.14979448914527893,0.30656078457832336,0.6563693881034851,0.47331809997558594,0.4274963140487671,0.10745664685964584
cifar10,0.0,7.0,0.17999999999999997,0.33478423953056335,0.9970875382423401,0.8891245722770691,0.9535199403762817,0.14979448914527893,0.30660346150398254,0.6537439227104187,0.46974027156829834,0.42509931325912476,0.11124540865421295
cifar10,0.0,7.0,0.18999999999999995,0.33478423953056335,0.9970875382423401,0.8891245722770691,0.9535199403762817,0.14979448914527893,0.30706238746643066,0.6540573239326477,0.4762756824493408,0.43315958976745605,0.11092891544103622
cifar10,0.0,8.0,0.1,0.06384320557117462,0.9718244671821594,0.5703179836273193,0.645006000995636,0.297214150428772,5.616793714580126e-07,0.00017243321053683758,1.7092464986490086e-05,7.747783456579782e-06,3.575980008463375e-05
cifar10,0.0,8.0,0.11,0.06384320557117462,0.9718244671821594,0.5703179836273193,0.645006000995636,0.297214150428772,6.381551997947099e-07,0.00017845429829321802,1.8635080778039992e-05,8.51132244861219e-06,3.850042776321061e-05
cifar10,0.0,8.0,0.12,0.06384320557117462,0.9718244671821594,0.5703179836273193,0.645006000995636,0.297214150428772,6.134486625342106e-07,0.00016761597362346947,1.7610112990951166e-05,7.5578855103231035e-06,3.6237426684238017e-05
cifar10,0.0,8.0,0.13,0.06384320557117462,0.9718244671821594,0.5703179836273193,0.645006000995636,0.297214150428772,5.68184304938768e-07,0.0001530840527266264,1.7008771465043537e-05,7.746351911919191e-06,3.4241227695019916e-05
cifar10,0.0,8.0,0.13999999999999999,0.06384320557117462,0.9718244671821594,0.5703179836273193,0.645006000995636,0.297214150428772,5.612542395283526e-07,0.00014431020827032626,1.6147618225659244e-05,7.40621817385545e-06,3.282193938503042e-05
cifar10,0.0,8.0,0.14999999999999997,0.06384320557117462,0.9718244671821594,0.5703179836273193,0.645006000995636,0.297214150428772,5.313950737217965e-07,0.0001397668820573017,1.5699250070611015e-05,7.160713721532375e-06,3.143804497085512e-05
cifar10,0.0,8.0,0.15999999999999998,0.06384320557117462,0.9718244671821594,0.5703179836273193,0.645006000995636,0.297214150428772,4.780446829499851e-07,0.0001347330107819289,1.4969479707360733e-05,6.941140782146249e-06,3.0029501431272365e-05
cifar10,0.0,8.0,0.16999999999999998,0.06384320557117462,0.9718244671821594,0.5703179836273193,0.645006000995636,0.297214150428772,3.892737368005328e-07,0.00011379810894140974,1.2452879673219286e-05,5.781442268926185e-06,2.5104036467382684e-05
